card_token,card_owner_id,card_produced_time,profile_address_country,age_years,used_within_one_month
0088f13d-31fd-45bf-99fe-f0179c4f9b05,334114,2018-02-27 09:41:44,DE,49,False
008ad56e-e1c9-4910-9f68-6053b3dda584,816650,2018-01-12 11:17:26,GB,38,True
00acbd27-eef2-49d8-a2a8-b996c1ffcacc,4302397,2018-03-09 16:54:16,GB,32,True
013488d5-3f75-4b90-b763-834b873e643a,82491,2018-03-15 16:25:38,GB,38,False
014bd7a7-b911-4e38-aa45-eb392b0b1da2,3311356,2018-02-05 16:46:49,GB,48,True
0158c080-93d3-4e59-bad3-8d68c1b15979,4673495,2018-03-26 18:42:56,PL,60,True
01b11e30-4eca-410c-a9b0-133d505ee12c,74055,2018-01-19 07:56:01,GB,38,True
01e083e9-e429-477c-8155-bb3e90c44dff,4958716,2018-04-09 08:18:16,CH,30,True
020fb13a-d5b5-48c6-b514-4f48892c18bb,2378803,2018-03-13 20:31:35,CZ,26,True
0235ff90-c74d-4d32-ace8-b28152a2959b,55748,2018-02-15 16:23:53,CH,36,True
02804206-7153-4220-a7ea-50f420c5cd88,56373,2018-04-17 10:50:04,GB,37,True
0429d131-6523-4e47-97a0-e08a873fae24,4717031,2018-03-06 15:06:17,CZ,31,False
048baf32-f73d-40f3-aacf-99a3f26118cd,3924843,2018-01-09 13:37:03,GB,66,True
04c5d011-cc99-4070-ad6b-1ed2dd46b96a,3457122,2018-01-30 20:18:31,GB,32,True
053cff0d-4c8b-4bdd-886d-79933c1ea876,41059,2018-01-15 17:14:52,GB,36,False
05a7f94b-77c8-4dde-ad35-ad849e700cf9,4475246,2018-04-18 18:48:58,GB,24,True
05b18fa1-111a-40c8-8703-91fafce7661e,2161462,2018-04-16 14:00:39,FR,57,True
05d1f669-3a1d-45fb-a4aa-061dfde74876,169853,2018-02-06 15:42:43,CH,41,True
060f4c2f-45fa-42d1-96e1-284452bf1e80,216906,2018-01-22 16:32:32,GB,67,True
0645919b-f2b4-4369-a9dd-70e8325228be,308389,2018-01-18 16:25:00,GB,72,False
